Date,temperature_2m_mean,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_mean,relative_humidity_2m_min,dew_point_2m_mean,vpd_mean_kpa,vpd_max_kpa,Zone_Name
2012-01-01,-7.8891907,-3.592041,0.08626889,3.3528707,72.37031,52.189697,-11.990753,0.09318565,0.22394589,Central Cariboo Fire Zone
2012-01-02,-2.3626099,0.3361206,0.4495325,3.255713,72.50163,59.516388,-6.6338196,0.14118245,0.2533885,Central Cariboo Fire Zone
2012-01-03,-0.40551758,1.9221497,5.033128,3.8635874,76.67555,64.83384,-4.001526,0.13831568,0.24676788,Central Cariboo Fire Zone
2012-01-04,2.3955078,4.2746277,13.176248,4.88797,80.79607,70.76177,-0.5670471,0.13939482,0.24241877,Central Cariboo Fire Zone
2012-01-05,-2.2714233,0.4550476,2.0975046,3.4744751,80.03882,65.581825,-5.247406,0.103180915,0.21729112,Central Cariboo Fire Zone
2012-01-06,-4.9257812,-2.7946167,0.57034814,1.9742811,81.68455,69.636086,-7.573761,0.07757628,0.1509648,Central Cariboo Fire Zone
2012-01-07,-4.803711,-2.724884,3.420957,3.0143504,82.50093,70.61706,-7.32547,0.07480794,0.14684844,Central Cariboo Fire Zone
2012-01-08,-1.2848206,1.1451111,2.037786,3.2429037,82.6496,69.28914,-3.8571777,0.09646699,0.20380291,Central Cariboo Fire Zone
2012-01-09,0.6084595,3.6233826,2.6699069,5.2568703,71.8169,57.929718,-3.8946533,0.17991608,0.33317715,Central Cariboo Fire Zone
2012-01-10,-8.796173,-4.2773743,0.15815447,3.5050113,62.566227,44.26218,-14.652893,0.117609546,0.24795552,Central Cariboo Fire Zone
2012-01-11,-11.475159,-7.3847656,0.05171902,1.3679585,64.26204,46.613144,-16.88144,0.090762645,0.18725288,Central Cariboo Fire Zone
2012-01-12,-8.863861,-5.431061,0.16923246,2.1855328,65.24912,50.096012,-14.205109,0.10860175,0.20340225,Central Cariboo Fire Zone
2012-01-13,-9.3785095,-6.398834,0.6062617,1.9878559,77.791214,61.75625,-12.536255,0.06665045,0.14474678,Central Cariboo Fire Zone
2012-01-14,-7.9770813,-5.6436157,5.327174,2.8066735,81.81968,68.401535,-10.53714,0.060897738,0.1267195,Central Cariboo Fire Zone
2012-01-15,-15.727631,-9.723267,1.3057318,2.4126523,75.171234,46.284615,-19.118942,0.044511378,0.15687265,Central Cariboo Fire Zone
2012-01-16,-22.59877,-20.06369,1.0667503,1.2189988,71.36322,57.21731,-26.360886,0.028403312,0.053021424,Central Cariboo Fire Zone
2012-01-17,-28.26416,-25.342865,0.6746933,1.4999549,67.88744,51.946545,-32.355637,0.018986624,0.03722605,Central Cariboo Fire Zone
2012-01-18,-30.772675,-26.713593,0.08404834,0.88462013,67.62768,46.310257,-34.808838,0.015084453,0.036673848,Central Cariboo Fire Zone
2012-01-19,-27.542084,-22.949188,0.07977664,0.67393625,63.74908,42.104107,-32.31488,0.0229299,0.05565968,Central Cariboo Fire Zone
2012-01-20,-17.36316,-10.715149,3.2734156,1.8441117,78.19191,45.423107,-20.250626,0.03407217,0.1473065,Central Cariboo Fire Zone
2012-01-21,-8.105103,-4.901642,5.9895325,2.8179984,84.044846,65.764336,-10.323639,0.052913368,0.14527321,Central Cariboo Fire Zone
2012-01-22,-7.647003,-3.544464,1.7067089,3.884485,78.15256,57.222088,-10.79306,0.07508534,0.2010903,Central Cariboo Fire Zone
2012-01-23,-4.602234,-1.527771,2.319544,4.2553816,69.65498,55.415337,-9.306976,0.13171893,0.24349153,Central Cariboo Fire Zone
2012-01-24,-2.3937073,-0.5913086,4.406853,4.54064,71.06567,62.257206,-6.924469,0.14821237,0.22079897,Central Cariboo Fire Zone
2012-01-25,-3.1592102,-0.16897583,2.2991657,4.7010245,63.518524,50.982082,-9.104675,0.17651108,0.29573953,Central Cariboo Fire Zone
2012-01-26,-6.075348,-3.20401,2.5120056,5.437148,64.671814,52.086594,-11.654205,0.13707349,0.23104787,Central Cariboo Fire Zone
2012-01-27,-6.331726,-2.7177734,1.2399654,3.9294333,64.61459,49.220337,-11.9096985,0.1346208,0.25391823,Central Cariboo Fire Zone
2012-01-28,-4.428894,-2.4100952,8.937496,3.196859,84.33661,72.54478,-6.671875,0.06888741,0.14046472,Central Cariboo Fire Zone
2012-01-29,-0.747406,3.0778198,2.482233,3.3698754,83.430954,63.385952,-3.2048645,0.09582943,0.27898502,Central Cariboo Fire Zone
2012-01-30,-1.2586975,1.6780396,2.2747421,3.1059191,79.23443,64.05878,-4.393982,0.11567715,0.24783167,Central Cariboo Fire Zone
2012-01-31,-1.5880432,1.2175903,2.2311661,2.841903,75.17959,61.3197,-5.409363,0.1349513,0.25803372,Central Cariboo Fire Zone
2012-02-01,-2.9999084,-0.29800415,2.6686194,3.414338,77.66139,63.670834,-6.3530273,0.10937649,0.21713194,Central Cariboo Fire Zone
2012-02-02,-3.5359192,0.0022888184,0.012790306,2.1229725,75.804474,58.42737,-7.1888733,0.113811195,0.25396794,Central Cariboo Fire Zone
2012-02-03,-3.645996,0.95474243,4.0457235e-05,1.9430299,77.571335,55.356895,-6.9963074,0.10463247,0.29221922,Central Cariboo Fire Zone
2012-02-04,-4.273926,1.6001892,0.00016416489,1.5693452,74.620705,48.50392,-8.107544,0.11293182,0.35311088,Central Cariboo Fire Zone
2012-02-05,-6.0664062,-0.6806946,3.9183033e-05,1.1181551,75.37964,50.443195,-9.7146,0.09559259,0.2880222,Central Cariboo Fire Zone
2012-02-06,-7.1792603,-1.6590881,0.00020502917,0.8433102,76.65304,50.60003,-10.582397,0.08320275,0.26718882,Central Cariboo Fire Zone
2012-02-07,-6.864929,-1.1589661,1.9187382e-06,1.9165548,71.58086,46.663834,-11.1397705,0.10376918,0.29930225,Central Cariboo Fire Zone
2012-02-08,-6.40036,-1.2631226,0.32396516,1.8663703,70.545975,48.0212,-10.875275,0.1114659,0.28946,Central Cariboo Fire Zone
2012-02-09,-4.250763,-0.45083618,0.30407143,1.8492807,82.67478,62.422226,-6.7567444,0.07722798,0.22210252,Central Cariboo Fire Zone
