Date,temperature_2m_mean,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_mean,relative_humidity_2m_min,dew_point_2m_mean,vpd_mean_kpa,vpd_max_kpa,Zone_Name
2012-01-01,-7.458008,-3.1712646,0.8836649,2.7117143,79.49951,57.443363,-10.393372,0.07149762,0.20571953,Chilcotin Fire Zone
2012-01-02,-1.5289307,0.66656494,5.5066643,3.0048077,81.478226,69.44611,-4.2862244,0.10114485,0.19587293,Chilcotin Fire Zone
2012-01-03,-0.33016968,1.3964233,23.538006,3.7382486,82.09255,72.47071,-3.0137634,0.106778204,0.18602535,Chilcotin Fire Zone
2012-01-04,1.5213318,3.1515808,31.429321,4.396669,83.06077,73.9647,-1.0429382,0.11549705,0.19941926,Chilcotin Fire Zone
2012-01-05,-3.3994446,-1.2204895,2.809331,3.2142599,79.28485,67.49013,-6.4714966,0.09844196,0.18160981,Chilcotin Fire Zone
2012-01-06,-5.3213806,-3.6274414,1.2088469,2.2478538,83.10766,73.15945,-7.7375793,0.0694288,0.12538898,Chilcotin Fire Zone
2012-01-07,-4.2015686,-2.192505,12.886886,3.220256,84.72985,72.95626,-6.3880005,0.06832048,0.1406118,Chilcotin Fire Zone
2012-01-08,-1.21521,0.7736511,19.367033,2.960861,87.27984,75.53715,-3.0584106,0.0710862,0.15804446,Chilcotin Fire Zone
2012-01-09,-1.1595459,1.7467651,6.328636,5.1220717,74.586334,60.44269,-5.0990906,0.14260575,0.27411437,Chilcotin Fire Zone
2012-01-10,-9.207123,-5.837921,0.040008616,2.5953417,69.24846,53.38337,-13.80545,0.093543276,0.18419115,Chilcotin Fire Zone
2012-01-11,-10.572449,-5.912018,0.01671093,1.3553149,67.73377,47.154774,-15.385651,0.08808564,0.207621,Chilcotin Fire Zone
2012-01-12,-7.7091064,-4.402954,0.35828686,2.804906,68.814926,53.47634,-12.443939,0.10666084,0.20501196,Chilcotin Fire Zone
2012-01-13,-8.431519,-6.3805237,2.1887534,2.5210202,85.39398,72.89646,-10.442963,0.047219455,0.102727234,Chilcotin Fire Zone
2012-01-14,-8.823456,-6.6658936,5.668152,2.9186745,83.964905,71.055534,-11.040466,0.050271332,0.10732192,Chilcotin Fire Zone
2012-01-15,-16.86383,-11.652222,0.7352362,1.3650277,77.28362,50.44638,-19.899902,0.037021324,0.124070436,Chilcotin Fire Zone
2012-01-16,-22.406052,-20.092743,1.618798,0.55495876,75.692856,61.882305,-25.526062,0.024525233,0.04712096,Chilcotin Fire Zone
2012-01-17,-28.47348,-24.973862,0.59976715,0.5378119,71.91085,52.197693,-31.959885,0.016284592,0.03829697,Chilcotin Fire Zone
