longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-123.1586727615431,51.99618096008194,2012-04-09,Person,1.4,2012
-123.15869268706169,51.99304144028604,2012-04-24,Person,0.2,2012
-123.9277203039502,52.14424605787368,2012-05-03,Person,8.9,2012
-123.16283907550365,52.00032373905073,2012-05-05,Person,2.5,2012
-123.18876060077768,52.03128342829964,2012-05-05,Person,2.9,2012
-123.64397738033462,52.0285436775949,2012-05-12,Person,45.7,2012
-123.17733109210378,52.022275830279256,2012-05-12,Person,2.8,2012
-123.84177303811506,51.481750909513735,2012-05-13,Person,9.1,2012
-123.23162870966539,51.966681854096635,2012-05-13,Person,1.3,2012
-123.85744264180701,52.14820005843606,2012-07-14,Lightning,10.0,2012
-123.57966218251457,51.99523213937077,2012-07-14,Lightning,3.7,2012
-122.7828033541975,51.818668955689986,2012-08-05,Lightning,4.6,2012
-124.44316429488615,52.74401512936326,2012-07-14,Lightning,12.9,2012
-123.0475227035109,52.68476938581035,2012-07-01,Lightning,2.7,2012
-125.27089449859182,52.981140907929316,2012-07-27,Lightning,1.0,2012
-122.97266352425686,53.088811544033014,2012-10-13,Person,8.0,2012
-121.90614078663465,52.13379626205282,2012-04-07,Person,5.8,2012
-121.99681936146149,52.0997987575648,2012-04-14,Person,26.2,2012
-121.99908051456042,52.109031577796294,2012-04-25,Person,6.9,2012
-122.6761497861506,51.92376843741657,2012-05-25,Lightning,79.9,2012
-121.84821544159837,51.81651713777646,2012-07-18,Lightning,271.2,2012
-121.84821544159837,51.81651713777646,2012-07-18,Lightning,271.2,2012
-122.31133970891156,52.15096372320983,2012-07-18,Lightning,5.8,2012
-122.45859571522546,51.914995710543906,2012-08-25,Person,2.5,2012
-122.7582197510677,51.77094771153054,2012-08-30,Lightning,2.0,2012
-121.37137956228877,51.49761572551042,2012-05-06,Person,1.8,2012
-121.93980118031537,51.16005966644243,2012-05-13,Person,3.7,2012
-121.85901442272419,51.57753039636592,2012-07-09,Lightning,11.8,2012
-121.34547029329856,51.07607363301544,2012-07-09,Lightning,2.6,2012
-121.93344154349695,51.464297421705325,2012-07-15,Lightning,2.2,2012
-121.46858690997446,51.21365519537309,2012-07-15,Lightning,1.7,2012
