FIRE_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_DATE
G73561,2023,Unknown,
K20298,2003,Person,2003-08-01
K20436,2003,Lightning,2003-08-07
K20624,2003,Person,2003-08-15
K20627,2003,Lightning,2003-08-15
K20678,2003,Person,2003-08-27
K30165,2003,Person,2003-07-09
K30224,2003,Lightning,2003-07-12
K30236,2003,Person,2003-07-24
K30333,2003,Lightning,2003-08-07
K30378,2003,Lightning,2003-08-06
K30412,2003,Lightning,2003-08-06
K30464,2003,Lightning,2003-08-08
K30465,2003,Lightning,2003-08-08
K30494,2003,Lightning,2003-08-09
K30494,2003,Lightning,2003-08-09
C50244,2001,Person,2001-09-24
K60256,2001,Person,2001-08-11
N10057,2001,Person,2001-05-23
N10359,2001,Person,2001-08-06
N10464,2001,Lightning,2001-08-17
N20157,2001,Lightning,2001-07-05
N20157,2001,Lightning,2001-07-05
N20476,2001,Lightning,2001-08-17
N20476,2001,Lightning,2001-08-17
N20479,2001,Lightning,2001-08-17
N40186,2001,Lightning,2001-07-10
N40194,2001,Person,2001-07-12
N50413,2001,Lightning,2001-08-13
N50413,2001,Lightning,2001-08-13
N70427,2001,Lightning,2001-08-13
C40048,2002,Person,2002-04-28
G40158,2002,Lightning,2002-06-15
G40158,2002,Lightning,2002-06-15
G60201,2002,Lightning,2002-06-20
G90208,2002,Lightning,2002-06-22
K20348,2002,Lightning,2002-08-24
K30400,2002,Person,2002-08-28
K70109,2002,Person,2002-07-05
N10006,2002,Person,2002-04-20
R90079,2002,Lightning,2002-06-21
C10279,2003,Lightning,2003-08-01
C30266,2003,Lightning,2003-07-31
C30275,2003,Lightning,2003-08-01
C40305,2003,Lightning,2003-08-06
C50199,2003,Lightning,2003-07-18
C50214,2003,Person,2003-07-22
C50422,2003,Lightning,2003-08-08
G40177,2003,Lightning,2003-06-29
G60446,2003,Lightning,2003-08-29
G80160,2003,Lightning,2003-06-24
G90083,2003,Person,2003-05-21
G90089,2003,Person,2003-05-25
G90239,2003,Lightning,2003-07-20
G90476,2003,Person,2003-10-02
K10213,2003,Person,2003-07-22
K10234,2003,Lightning,2003-07-24
K10244,2003,Person,2003-07-26
K10306,2003,Lightning,2003-08-09
K10477,2003,Lightning,2003-08-08
K10612,2003,Lightning,2003-08-14
K10622,2003,Lightning,2003-08-06
K10623,2003,Lightning,2003-08-06
K10631,2003,Lightning,2003-08-06
K10633,2003,Lightning,2003-08-06
K10634,2003,Lightning,2003-08-11
K10645,2003,Lightning,2003-08-09
K10662,2003,Lightning,2003-08-06
K20272,2003,Person,2003-07-30
G70046,2008,Person,2008-05-16
G70048,2008,Person,2008-05-16
G70052,2008,Person,2008-05-17
G70055,2008,Person,2008-05-17
G70058,2008,Person,2008-05-18
G70060,2008,Person,2008-05-18
C20095,2007,Lightning,2007-07-13
C20096,2007,Lightning,2007-07-13
C20107,2007,Lightning,2007-07-13
C20185,2007,Lightning,2007-07-19
C20194,2007,Person,2007-07-29
C20210,2007,Lightning,2007-08-02
C20211,2007,Lightning,2007-08-02
C20212,2007,Lightning,2007-08-02
C20214,2007,Lightning,2007-08-02
C20218,2007,Lightning,2007-08-02
C20228,2007,Lightning,2007-08-03
C20252,2007,Lightning,2007-08-02
C20261,2007,Lightning,2007-08-03
C20286,2007,Lightning,2007-08-16
C20305,2007,Lightning,2007-08-16
C20343,2007,Lightning,2007-08-16
C20347,2007,Lightning,2007-08-17
K20841,2007,Person,2007-07-26
K21194,2007,Person,2007-08-17
K21534,2007,Person,2007-09-12
K21834,2007,Person,2008-03-23
K30144,2007,Person,2007-05-10
