FIRE_NUMBER,VERSION_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_LABEL,FIRE_SIZE_HECTARES,SOURCE,GPS_TRACK_DATE,LOAD_DATE,FIRE_DATE,CREATION_METHOD,FEATURE_CODE,OBJECTID,SE_ANNO_CAD_DATA,FEATURE_AREA_SQM,FEATURE_LENGTH_M,MONTH,MONTH_NAME
C50173,,2000,Lightning,2000-C50173,4.5,fire centre,,2007-05-17Z,,digitised,JA70003000,3200196,,45317.7204,976.4033,,
C50173,,2000,Lightning,2000-C50173,1.7,fire centre,,2007-05-17Z,,digitised,JA70003000,3200197,,17930.9522,507.287,,
C50173,,2000,Lightning,2000-C50173,3.9,fire centre,,2007-05-17Z,,digitised,JA70003000,3200198,,39342.0108,785.1352,,
C50173,,2000,Lightning,2000-C50173,2.8,fire centre,,2007-05-17Z,,digitised,JA70003000,3200199,,28642.8803,690.4901,,
C50174,,2000,Lightning,2000-C50174,417.8,Buffered_Point,,2007-05-17Z,,buffered_point,JA70003000,3200200,,4178587.9022,7578.5987,,
C50244,,2001,Person,2001-C50244,184.3,LANDSAT7,,2007-05-17Z,,digitized,JA70003000,3200263,,1843242.5569,10890.9803,,
C40048,,2002,Person,2002-C40048,110.5,LANDSAT7,,2007-05-17Z,,Just a guess; very uncertain,JA70003000,3200278,,1105959.9799,6154.8548,,
C10279,,2003,Lightning,2003-C10279,121.9,LANDSAT5,,2007-05-17Z,,digitized,JA70003000,3200288,,1219179.803,11062.6701,,
C10040,,2000,Person,2000-C10040,12.0,Buffered_Point,,2007-05-17Z,,buffered_point,JA70003000,3200186,,120435.5843,1291.5975,,
C20006,,2000,Person,2000-C20006,12.3,Buffered_Point,,2007-05-17Z,,buffered_point,JA70003000,3200187,,123117.2587,1300.4351,,
C20023,,2000,Person,2000-C20023,12.2,Buffered_Point,,2007-05-17Z,,buffered_point,JA70003000,3200188,,122272.829,1297.6553,,
C30266,,2003,Lightning,2003-C30266,69.4,LANDSAT5,,2007-05-17Z,,digitized,JA70003000,3200289,,694232.2625,7078.3188,,
C30275,,2003,Lightning,2003-C30275,510.7,LANDSAT5,,2007-05-17Z,,digitized,JA70003000,3200290,,5107392.0953,20049.4646,,
C40305,,2003,Lightning,2003-C40305,1112.8,LANDSAT5,,2007-05-17Z,,digitized,JA70003000,3200291,,11128818.2232,20349.4397,,
C50199,,2003,Lightning,2003-C50199,1744.6,LANDSAT9,,2007-05-17Z,,digitized,JA70003000,3200292,,17446639.6825,27358.7462,,
C50214,,2003,Person,2003-C50214,27655.6,LANDSAT5,,2007-05-17Z,,digitized,JA70003000,3200293,,276556288.3903,138490.1759,,
C50422,2015032501.0,2003,Lightning,2003-C50422,12.2,HAND SKETCH,2015-03-23Z,2014-03-25Z,,Digitized,JA70003000,3200294,,122029.5519,1685.8787,,
C20035,,2000,Person,2000-C20035,15.2,fire centre,,2007-05-17Z,,digitised,JA70003000,3200189,,152710.7841,1767.6832,,
C20036,,2000,Person,2000-C20036,56.5,fire centre,,2007-05-17Z,,digitised,JA70003000,3200190,,565596.2003,3713.3893,,
